"Year","Month","Dates","UPW.1","UPW.2","UPW.3","UPW.4","UPW.5","UPW.6","UPW.7","UPW.8","UPW.9","UPW.10","UPW.11","UPW.12","UPW.13","UPW.14"
"2005","01",2005-01-16 12:00:00,-1.89122911775641e-06,-2.22803041478099e-06,-2.86438619796896e-06,1.32479451807814e-07,-2.31599947664307e-06,7.0626685795738e-07,-7.39852062851632e-07,-4.12520571995365e-07,5.93434720557256e-07,-4.52304345501096e-06,6.74756331247922e-07,1.46428072698596e-07,4.91235582211758e-07,2.44881406115303e-06
"2005","02",2005-02-15 00:00:00,-1.28614256074873e-06,-1.43911059471541e-06,-1.99603004661143e-06,5.59580220160782e-07,-8.73198749573589e-06,9.47571432830523e-07,1.99268614874143e-06,-8.65630720683599e-07,2.25952269823963e-06,-3.14902634440878e-06,8.99756871282912e-07,-6.54586240871144e-07,2.04096378153551e-06,3.03326309917934e-06
"2005","03",2005-03-16 12:00:00,8.54243964454326e-08,-1.7729192652451e-06,-8.65789033355213e-07,-2.28710617733441e-06,-4.7509430047402e-06,-2.02519982106656e-06,-9.75004704114266e-07,-7.56378862491867e-07,5.38543356543431e-07,-1.49124313025348e-06,-7.86146069200841e-07,-1.99859940451399e-06,-1.07971347373947e-06,9.37135775354584e-07
"2005","04",2005-04-16 00:00:00,-1.0545105474602e-06,-8.13356235103887e-07,-5.30502170159855e-06,-8.06759532829509e-07,-5.76990611733663e-06,-1.1080708523247e-06,4.16158187767751e-07,3.21300283366731e-07,1.26775730386529e-06,2.06729495393299e-07,2.40361539886033e-06,4.36914906207813e-07,2.60677580401492e-06,-2.07532236484836e-07
"2005","05",2005-05-16 12:00:00,7.20361605215494e-07,2.41067446070606e-06,-2.13541140582027e-06,1.65206833191434e-06,2.40319239295669e-06,-5.54951892615146e-07,5.61009911952349e-07,5.88980873422534e-07,1.26236295692633e-06,1.53366273280012e-06,1.17517308150196e-06,1.44151984751123e-06,9.75188937246685e-07,-4.8462089101027e-07
"2005","06",2005-06-16 00:00:00,-3.50723331767091e-06,-3.86892010311228e-06,-5.32461786174532e-06,4.14834300244138e-07,1.14043365897487e-05,-2.32647627143829e-06,1.68208605273363e-06,-4.57305267541358e-07,-3.89772026394481e-06,1.16174859961317e-05,-2.27642396089544e-06,4.83613708627358e-06,2.62921776084113e-07,-7.56964572486952e-07
"2005","07",2005-07-16 12:00:00,-2.04342436013678e-06,6.05450747564867e-06,5.9408131742361e-06,4.83155892968175e-06,8.42616589036282e-06,7.65721041404874e-07,3.57951661716036e-06,3.08973584897642e-06,-5.69555685638851e-06,8.26160205395039e-06,-4.39649013751241e-06,-9.4601481140343e-07,-5.82227563326043e-06,-3.99360166828241e-07
"2005","08",2005-08-16 12:00:00,-1.39586959372414e-06,1.08443894415924e-05,3.8747250224939e-06,6.15868489421227e-06,1.02717684882236e-05,-2.98782433053138e-06,1.24672059211274e-06,1.09393526768225e-06,-2.28590568171106e-07,9.13683311444929e-06,-1.48527255865767e-06,7.69626667493533e-07,-4.96119875279971e-06,3.21054753655605e-07
"2005","09",2005-09-16 00:00:00,2.17940732483157e-06,4.20471213460218e-06,2.42112924065874e-06,6.29815610627323e-06,1.18389239958105e-05,-4.1393395527135e-07,4.08039261313706e-06,3.18250893477162e-06,6.6563371321822e-07,3.07217408766923e-06,-3.49008930832618e-06,-1.94600708196217e-06,-9.65548628428792e-07,1.14303331930526e-06
"2005","10",2005-10-16 12:00:00,4.51733376667545e-06,2.37856720006577e-06,2.08406414573304e-06,1.13834759337313e-06,2.72311943838588e-06,2.25085918899903e-06,2.97106859740118e-06,3.65062648603428e-06,2.61158665796442e-06,4.75417553344768e-06,3.58664750120187e-06,4.91857881822228e-06,4.79782207870087e-06,1.36462023906386e-06
"2005","11",2005-11-16 00:00:00,2.17248784437629e-06,-1.48574971647301e-06,-1.0261702553552e-06,-1.44508071523812e-06,-1.74604856199274e-06,3.62547973979614e-06,-6.36829652495899e-08,-3.28167963738996e-07,5.02099230319053e-07,9.36209342894949e-07,7.48217552289756e-07,3.00518993165856e-06,3.2605179986156e-06,1.3476572065069e-06
