"Year","Month","EMTperp","We"
2010,4,-159.518998548556,0.742663721993646
2010,5,-372.994903690558,7.54134801709421
2010,6,-615.087222066979,4.62640122591208
2010,7,-814.448708873677,2.55660578590855
2010,8,-1187.31005630216,6.53573693410674
2010,9,-238.752854591374,8.37814589867623
2010,10,-351.458528364445,10.8287292349715
2010,11,-26.0000449079121,1.63560465402448
2010,12,-128.685405686779,-0.0514656784248751
2011,1,-218.372738810478,-8.08241848852452
2011,2,-210.533245162012,-2.43878249835549
2011,3,-171.420887187513,-1.35713225781982
2011,4,-178.643252109389,2.28535434530673
2011,5,-386.201562494463,6.65523046520203
2011,6,-653.204003381431,3.83703217710759
2011,7,-787.643291755875,1.68599289703716
2011,8,-690.935565780994,1.17248954106578
2011,9,-574.112204256154,0.879421084828344
2011,10,-100.55190467797,0.679936598774465
2011,11,5.27569902313111,-1.75325553594195
2011,12,-104.358029115059,-7.08325199143047
2012,1,-152.171335149392,-13.3811476729705
2012,2,-158.709776704896,-11.1923403277702
2012,3,-230.4484572784,-0.634516903000888
2012,4,-279.136700432968,2.77840992622967
2012,5,-827.113308761482,5.77798551604308
2012,6,-670.030453270373,5.0546144917819
2012,7,-1057.93717290146,3.16044598256209
2012,8,-571.823240173206,1.49222386134377
2012,9,-537.810524887303,0.687325513716924
2012,10,-45.0241437612165,0.142123009093403
2012,11,-61.5245762857819,-1.48882615715371
2012,12,-125.168620200814,-13.9848192831378
2013,1,-195.409258747422,-12.6219378557959
2013,2,-100.483747530233,-8.05746602919796
2013,3,-138.069022638677,-2.12222391523045
2013,4,-440.097238763969,0.507513928039104
2013,5,-502.962401459522,10.5036375378788
2013,6,-860.037352691359,0.86714207475744
2013,7,-969.692059285434,-0.653843825983222
2013,8,-1156.18057315579,4.12471075074834
2013,9,-500.429975539537,6.49978447070576
2013,10,-364.915967997163,5.17503051866733
2013,11,-17.0546412634629,-2.44590161958481
2013,12,-129.524865339853,-8.45333665315732
2014,1,-144.850907828014,-23.0598456800415
2014,2,-182.818482069243,-11.1358742822829
2014,3,-160.335486262369,-9.18867352569214
2014,4,-181.159138473156,0.917480215014696
2014,5,-264.622717250226,6.11417154874623
2014,6,-777.073205302824,6.31393952136058
2014,7,-1075.93429324362,4.5149037411993
2014,8,-748.076488201517,4.43760847335449
2014,9,-536.811511738252,4.20517290311545
2014,10,-54.9535761637521,2.25490726798736
2014,11,-56.0469000508854,-1.59230926952047
2014,12,-89.6367991925437,-5.96172524003715
2015,1,-145.64747470706,-14.1532928648361
2015,2,-117.98156890702,-13.1269244602294
2015,3,-104.411640885358,-2.53437324361838
2015,4,-88.2794329807031,0.251657029515066
2015,5,-219.917817606865,8.86356852387103
2015,6,-183.622537680441,3.63627198661729
2015,7,-1080.85537906483,1.95455873998567
2015,8,-812.70000600321,6.857652914544
2015,9,-258.508571138896,7.41868605586182
2015,10,25.2238735049763,-0.102984368712157
2015,11,-15.5732562852346,0.140126116106448
2015,12,-89.2453963055564,-15.4495930068897
2016,1,-153.03969606016,-24.6887853056355
2016,2,-216.464062147302,-10.6153006557054
2016,3,-133.222385187993,-1.81494773878284
2016,4,-244.003710200215,0.461121276322451
2016,5,-452.839879552381,4.94847216817082
2016,6,-885.411406192715,7.21622852608363
2016,7,-1084.35009110768,4.65829824561687
2016,8,-1200.87852965775,7.180990406906
2016,9,-1260.76160007463,7.64288426378584
2016,10,-360.613717334079,6.36476746108977
2016,11,-68.8215930030501,-1.50909260384557
2016,12,-90.5136480228654,-2.17601586536308
2017,1,-123.071846597902,-11.8109249449037
2017,2,-101.650276856976,-14.4306740995052
2017,3,-152.001460059449,-0.161461025291877
2017,4,-450.572408842159,2.21141913822727
2017,5,-383.227631436743,7.25908434659289
